ORIGIN_AIRPORT,DESTINATION_AIRPORT,num_voli,mean_scheduled_time
BGM,DTW,260,92.78461538461538
BGR,DTW,313,137.4664536741214
BGR,LGA,53,101.15094339622641
BHM,ATL,3200,65.816875
BHM,BWI,584,117.00342465753425
BHM,DAL,681,111.76945668135096
BHM,DEN,328,183.5640243902439
BHM,DFW,601,129.24792013311148
BHM,DTW,581,125.00344234079174
BHM,HOU,609,113.28407224958949
BHM,IAH,1567,116.36375239310784
BHM,LAS,334,249.46107784431138
BHM,LGA,459,149.02832244008715
BHM,MCO,660,89.6969696969697
BHM,MDW,620,110.80645161290323
BHM,MIA,539,115.91465677179963
BHM,ORD,993,126.75528700906344
BHM,TPA,625,83.064
BIL,DEN,1098,91.99180327868852
BIL,MSP,643,117.3452566096423
BIL,SLC,1057,83.34247871333964
BIS,DEN,1264,104.03955696202532
BIS,DFW,325,172.52
BIS,MSP,1490,82.70604026845638
BIS,ORD,325,135.96
BJI,MSP,666,64.506006006006
BLI,HNL,156,380.93589743589746
BLI,LAS,217,149.963133640553
BLI,OGG,89,389.40449438202245
BLI,SEA,246,40.959349593495936
BMI,ATL,867,96.45444059976931
BMI,DFW,638,136.93260188087774
BMI,DTW,136,84.30882352941177
BMI,MSP,69,95.1304347826087
BMI,ORD,910,58.12197802197802
BNA,ATL,3214,72.411947728687
BNA,AUS,619,134.1437802907916
BNA,BOS,633,145.2527646129542
BNA,BWI,1849,102.06327744726879
BNA,CHS,346,83.121387283237
BNA,CLE,790,84.04430379746836
BNA,CLT,1280,80.403125
BNA,CMH,633,70.35545023696683
BNA,CVG,306,70.7843137254902
BNA,DAL,894,118.50111856823266
BNA,DCA,965,100.90777202072539
BNA,DEN,1991,175.93269713711703
BNA,DFW,2696,126.13501483679525
BNA,DTW,2033,96.29316281357599
BNA,ECP,591,75.93908629441624
BNA,EWR,1781,132.16956765861875
BNA,FLL,773,130.96377749029753
BNA,HOU,1206,126.84494195688225
BNA,IAH,1287,135.01709401709402
BNA,JAX,896,85.3515625
BNA,JFK,317,146.30283911671924
BNA,LAS,888,246.90315315315314
BNA,LAX,1628,274.73341523341526
BNA,LGA,2351,130.19778817524457
BNA,MCI,1071,97.6937441643324
BNA,MCO,1415,106.80565371024736
BNA,MDW,2025,89.1037037037037
BNA,MIA,52,136.90384615384616
BNA,MSP,985,135.98172588832486
BNA,MSY,1025,91.46829268292683
BNA,OAK,177,286.7231638418079
BNA,ORD,3386,105.98168930891907
BNA,PHL,616,114.35064935064935
BNA,PHX,729,228.15500685871055
BNA,PIT,332,82.68072289156626
BNA,PNS,596,75.53691275167785
BNA,RDU,983,83.44862665310275
BNA,RSW,101,118.41584158415841
BNA,SAN,386,260.71243523316065
BNA,SAT,569,145.00878734622145
BNA,SEA,184,296.9021739130435
BNA,SLC,343,230.25655976676384
BNA,STL,622,67.28295819935691
BNA,TPA,1214,101.88220757825371
BNE,DFW,1,866.0
BOI,DEN,1908,111.14203354297693
BOI,GEG,589,63.20033955857385
BOI,IAH,333,209.93693693693695
BOI,LAS,653,100.260336906585
BOI,LAX,679,135.76288659793815
BOI,MDW,62,195.0
BOI,MSP,702,163.7108262108262
BOI,OAK,659,105.12898330804249
BOI,ORD,529,209.34971644612477
BOI,PDX,61,77.01639344262296
BOI,PHX,1084,120.55535055350553
BOI,SAN,331,130.5226586102719
